City,Department,Description,Hours,Loc_lat,Loc_long,Location,Salary,Title
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.179485,-76.66862,"LAVAN ENTERPRISES, INC,  ZIP:- 21094",TBD,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.313418,-76.749116,"1655 Belmont Avenue,  ZIP:- 21207",Based on Availablity,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.256965,-76.663815,"3223 Washington Boulevard,  ZIP:- 21230",,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",openingShift,39.179485,-76.66862,"LAVAN ENTERPRISES, INC,  ZIP:- 21094",TBD,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.292978,-76.656737,"2501 W. Franklin St.,  ZIP:- 21223",Based on Availablity,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.28911,-76.622133,"425 W Baltimore Street,  ZIP:- 21201",Based on Availablity,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.280542,-76.671423,"3249 Frederick Drive,  ZIP:- 21229",Minimum wage,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.288543,-76.727557,"5637 Baltimore National Pike,  ZIP:- 21228",,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.288543,-76.727557,"5637 Baltimore National Pike,  ZIP:- 21228",,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.313418,-76.749116,"1655 Belmont Avenue,  ZIP:- 21207",Based on availablity,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.33941,-76.667958,"4401 Riesterstown Road,  ZIP:- 21215",,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.33941,-76.667958,"4401 Riesterstown Road,  ZIP:- 21215",,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.33941,-76.667958,"4401 Riesterstown Road,  ZIP:- 21215",,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.33941,-76.667958,"4401 Riesterstown Road,  ZIP:- 21215",Based on experience,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.313418,-76.749116,"1655 Belmont Avenue,  ZIP:- 21207",Based on availablity,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.310641,-76.617139,"15 West North Avenue,  ZIP:- 21201",Based on Experience,Crew
Baltimore,Crew,"b'McDonalds company-owned and independent Owner-Operator restaurants are staffed by great people, and right now were looking for more of them. People with lots to offer. People like you. If youre interested (and we sure hope you are), lets get together.'",allShifts,39.284708,-76.752486,"1011 North Rolling Road,  ZIP:- 21228",on experience,Crew
